,string,count,group
1332,Airbus Canada Limited Partnership,21,airbus
1333,Spectra Energy,21,spectra energy
1334,"Calgary Olympic Development Association, o/a Winsport",21,calgary olympic development association
1335,Habitat for Humanity Canada,21,habitat for humanity
1336,Calgary Economic Development,21,calgary economic development
1337,BASF Canada Inc.,21,basf canada inc.
1338,Fields Institute for Research in Mathematical Sciences,21,fields institute for research in mathematical sciences
1339,Canadian Federation of Library Associations,21,canadian federation of library associations
1340,Ombudsman for Banking Services and Investments,21,ombudsman for banking services and investments
1341,Mental Health Research Canada,21,mental health research canada
1342,National Trade Contractors Coalition of Canada (NTCCC),20,national trade contractors coalition of canada (ntccc)
1343,Campbell Company of Canada,20,campbell company of canada
1344,Fisher River Cree Nation,20,fisher river cree nation
1345,"Gavi, the Vaccine Alliance",20,"gavi, the vaccine alliance"
1346,Ambershaw Metallics,20,ambershaw metallics
1347,The Immigration Consultants of Canada Regulatory Council,20,the immigration consultants of canada regulatory council
1348,REPSOL,20,repsol
1349,Particle Vaccine Canada Ltd.,20,particle vaccine canada ltd.
1350,D+H Limited Partnership,20,d+h limited partnership
1351,SALVATION ARMY CANADA AND BERMUDA TERRITORY (THE),20,salvation army canada and bermuda territory (the)
1352,"OmniTRAX, Inc.",20,"omnitrax, inc."
1353,Beothuk Energy Inc.,20,beothuk energy inc.
1354,Council of Canadian Academies,20,council of canadian academies
1355,Canada Beef Export Federation,20,canada beef export federation
1356,National Access Cannabis (NAC),20,national access canada
1357,Rural Opportunity and Investment Coalition,20,rural opportunity and investment coalition
1358,Rick Hansen Man in Motion Foundation,20,rick hansen foundation
1359,CANADIAN FERTILIZER INSTITUTE,20,canadian fertilizer institute
1360,Nieuport Aviation Infrastructure Partners,20,nieuport aviation
1361,Leonardo MW Ltd.,20,leonardo
1362,Glencore PLC,20,glencore canada
1363,Canadian Centre for Architecture,20,canadian centre for architecture
1364,BAXTER CORP.,20,baxter corporation
1365,JUUL Labs Canada,20,juul labs
1366,Ocean Group Inc.,20,ocean group inc.
1367,Henvey Inlet Wind LP,20,henvey inlet first nation
1368,Province Brands of Canada,20,province brands of canada
1369,Conseil de l'industrie forestière du Québec,20,conseil de l'industrie forestiere du quebec
1370,Independent Broadcast Group,20,independent broadcasters group (ibg)
1371,ACTUA,20,actua
1372,Gerdau Ameristeel Corporation,20,gerdau ameristeel corporation
1373,Friends of the Greenbelt Foundation,20,friends of the greenbelt foundation
1374,ole,20,ole media management
1375,Hudson Bay Railway Corp.,20,hudson bay railway corp.
1376,Intact Financial Corporation,20,intact financial corporation
1377,POST Promise,20,post promise
1378,Child Welfare League of Canada,20,child welfare league of canada
1379,MOLTEX ENERGY CANADA INC,20,moltex energy canada inc
1380,"Terramera, Inc.",20,terramera
1381,Canadian Housing and Renewal Association (CHRA),20,canadian housing and renewal association (chra)
1382,Canadian Association of Content Exporters,20,canadian association of content exporters
1383,First Majestic Silver Corp,20,first majestic silver corp
1384,Cisco Systems Canada,20,cisco systems canada
1385,CDL maple sugaring equipment,20,cdl maple sugaring equipment
1386,Air Products Canada Ltd,20,air products canada limited
1387,Strateco Resources Inc.,19,strateco resources inc.
1388,Tim Horton Children's Foundation,19,tim hortons
1389,Grape Growers of Ontario,19,grape growers of ontario
1390,KWESST Intelligent Tactical Systems,19,kwesst intelligent tactical systems
1391,Janssen Inc.,19,janssen inc.
1392,Alberta's Industrial Heartland Association,19,alberta's industrial heartland association
1393,Carbon Engineering,19,carbon engineering
1394,Grow Tech Labs,19,grow tech labs
1395,Meewasin Valley Authority,19,meewasin valley authority
1396,MTS Allstream,19,mts allstream
1397,Shoppers Drug Mart,19,shoppers drug mart
1398,Canadian Health Research Forum,19,canadian health research forum
1399,Value Village Stores,19,value village stores
1400,Organic Federation of Canada,19,organic federation of canada
1401,Chartered Professional Accountants of Canada,19,chartered professional accountants of canada
1402,Canadian Association of Refugee Lawyers,19,canadian association of refugee lawyers
1403,Federal Fleet Services Inc.,19,federal fleet services inc.
1404,British Columbia Institute of Technology,19,british columbia institute of technology
1405,Pedesting Corporation,19,pedesting corporation
1406,D-WAVE SYSTEMS INC.,19,d-wave systems
1407,SailPoint Technologies Inc.,19,sailpoint technologies inc.
1408,Native Women's Association of Canada,19,native women's association of canada
1409,Canadian Film Centre,19,canadian film centre
1410,ABC Life Literacy Canada,19,abc life literacy canada
1411,Norsat International Inc.,19,norsat international inc.
1412,Industrial Rail Services Inc.,19,industrial rail services inc.
1413,Canadian Tire Corporation Ltd,19,canadian tire corporation
1414,Evraz Inc. NA Canada,19,evraz inc. na canada
1415,Canadian Public Health Association (CPHA),19,canadian public works association
1416,KGHM-Ajax Mining Inc,19,kghm ajax mining inc.
1417,Pacific Salmon Foundation,19,pacific salmon foundation
1418,A Way Home Canada,19,a way home canada
1419,Doctors Without Borders Canada,19,doctors without borders canada
1420,Sunshine Village Corporation,19,sunshine village corporation
1421,Kinder Morgan Canada Inc,19,kinder morgan canada inc
1422,Terramera Inc,19,terramera
1423,Canadian Association of Stand-up Comedians,19,canadian association of stand-up comedians
1424,The Coal Association of Canada,19,coal association of canada (the )
1425,Johnson and Johnson Inc.,19,johnson & johnson
1426,Canadian Olympic Committee (COC),19,canadian olympic committee
1427,Goldcorp Inc.,19,goldcorp inc
1428,TMAC Resources Inc.,19,tmac resources inc.
1429,Canadians for Tax Fairness,19,canadians for tax fairness
1430,Business Council of British Columbia,18,business council of british columbia
1431,La Coop Federee,18,la coop federee
1432,Tourism Jasper,18,tourism jasper
1433,Cruise Lines International Association,18,cruise lines international association
1434,Red Leaves Resort Association,18,red leaves resort association
1435,Parmalat Canada Inc.,18,parmalat canada
1436,Wolf Infrastructure Management,18,wolf infrastructure management
1437,Canada Pension Plan Investment Board,18,canada pension plan investment board
1438,Frontier College,18,frontier college
1439,Canadian Urban Libraries Council,18,canadian urban libraries council
1440,Williams Energy Canada ULC,18,williams energy canada ulc
1441,Gazoduq Inc.,18,gazoduq inc.
1442,COAST CAPITAL SAVINGS,18,coast capital savings
1443,SupremeX Inc.,18,supremex inc.
1444,Royal Winnipeg Ballet,18,royal winnipeg ballet
1445,Twitter Canada,18,twitter canada
1446,4077211 CANADA INC.,18,4077211 canada inc.
1447,Association of Canadian Distillers,18,association of canadian distillers
1448,Ottawa Macdonald-Cartier International Airport Authority,18,ottawa macdonald-cartier international airport authority
1449,Canadian Agricultural Safety Association,18,canadian agricultural safety association
1450,Canadian Camping Association,18,canadian camping association
1451,Telesat,18,telesat
1452,Nisga Lisims Government,18,nisga'a nation
1453,The Vimy Foundation,18,the vimy foundation
1454,Arthritis Alliance of Canada,18,arthritis alliance of canada
1455,Lutsel K’e Dene First Nation,18,lutsel k'e dene first nation
1456,The Body Shop Canada Limited,18,the body shop canada limited
1457,Private Forest Landowners Association,18,private forest landowners association
1458,Davie Canada Yard inc.,18,davie canada yard inc.
1459,ExcellThera,18,excellthera
1460,Emera Newfoundland and Labrador,18,emera incorporated
1461,"FIGR, Inc.",18,"figr, inc."
1462,Agnico-Eagle Mines Limited,18,agnico eagle mines limited
1463,KRUGER INC.,18,kruger inc.
1464,Canadian Media Production Association / Association canadienne de production de média,18,canadian media production association / association canadienne de production de media
1465,Parkland Fuel Corporation,18,parkland fuel corporation
1466,University of Windsor,18,university of windsor
1467,COUNCIL OF CANADIANS / CONSEIL DES CANADIENS,18,council of canadians / conseil des canadiens
1468,American Fraternal Alliance,18,american fraternal alliance
1469,Athabasca University,18,athabasca university
1470,HEC Montreal,18,hec montreal
1471,Laricina Energy Ltd.,18,laricina energy ltd.
1472,7341041 Canada Inc.,18,7341041 canada inc.
1473,Prospectors & Developers Association of Canada,18,prospectors and developers association of canada
1474,"Northrop Grumman International, Inc.",18,northrop grumman mission systems
1475,Luminato Festival / Festival Luminato,18,luminato festival / festival luminato
1476,Ferrero Canada,18,ferrero canada
1477,AMEX Bank of Canada,18,amex bank of canada
1478,Mist Mobility Integrated Systems Technology (MMIST),18,mist mobility integrated systems technology (mmist)
1479,Western Canadian Wheat Growers Association,18,western canadian wheat growers association
1480,General Atomics Aeronautical Systems,18,general atomics aeronautical systems
1481,Vasomune Therapeutics Inc.,18,vasomune therapeutics inc.
1482,Woodtone Industries,18,woodtone industries
1483,Cannabis Trade Alliance of Canada,18,cannabis trade alliance of canada
1484,Cirque du Soleil Entertainment Group,18,cirque du soleil entertainment group
1485,Trans Mountain Corporation,18,trans mountain corporation
1486,Carmeuse Lime Canada,18,carmeuse lime canada
1487,Fort McMurray Airport Authority,18,fort mcmurray airport authority
1488,WireIE,18,wireie
1489,CANADIAN PACIFIC RAILWAY,18,canadian pacific railway
1490,Union of Canadian Transportation Employees (UCTE),18,union of canadian transportation employees
1491,Ontario Independent Appraisers Association,17,ontario independent appraisers association
1492,Assemblée de la francophonie de l'Ontario (AFO),17,assemblee de la francophonie de l'ontario (afo)
1493,S2E Technologies Inc.,17,s2e technologies inc.
1494,Toronto Innovation Acceleration Partners,17,toronto innovation acceleration partners
1495,Yukon College,17,yukon college
1496,James Evans and Associates Ltd.,17,james evans and associates ltd.
1497,Pepsico Canada ULC,17,pepsico canada ulc
1498,EDF EN Canada Inc,17,edf renewables development inc.
1499,Woodfibre LNG Limited,17,woodfibre lng
1500,"REPSOL, SA",17,repsol
1501,DATA & AUDIO-VISUAL ENTERPRISES WIRELESS INC.,17,data & audio-visual enterprises wireless
1502,Riipen Networks,17,riipen
1503,Egg Farmers of Ontario,17,egg farmers of ontario
1504,Vertex Pharmaceuticals (Canada) Incorporated,17,vertex pharmaceuticals (canada) inc.
1505,Soy Canada,17,soy canada
1506,Berkshire Hathaway Energy Company,17,berkshire hathaway energy canada
1507,Hope Air,17,hope air
1508,Dream Maker Inc.,17,dream maker inc.
1509,TGR Rail Canada,17,tgr rail canada
1510,Society of Professional Engineers and Associates,17,society of professional engineers and associates
1511,Accelero Capital,17,accelero capital
1512,CertainTeed Gypsum Canada Inc.,17,certainteed gypsum canada inc.
1513,CANARIE Inc.,17,canarie inc.
1514,United Jewish Appeal Federation of Greater Toronto,17,united jewish appeal federation of greater toronto
1515,MacKenzie Aboriginal Corporation,17,mackenzie aboriginal corporation
1516,Wild Salmon Forever,17,wild salmon forever society
1517,NetApp,17,netapp
1518,Assembly of Manitoba Chiefs,17,assembly of manitoba chiefs
1519,Canadian AIDS Treatment Information Exchange,17,canadian aids treatment information exchange
1520,Iris Technologies Inc. (IRISTEL),17,iristel inc.
1521,SALZGITTER MANNESMANN INTERNATIONAL (CANADA) INC.,17,salzgitter mannesmann international (canada) inc.
1522,Danone Inc.,17,danone inc.
1523,IELTS (The Partners),17,ielts (the partners)
1524,Royal Ontario Museum,17,royal ontario museum
1525,2013 Fifth Avenue Apartment Trust,17,2013 fifth avenue apartment trust
1526,Avaya Canada Corp.,17,avaya inc.
1527,Westinghouse Electric Canada LLC,17,westinghouse electric company llc
1528,BC Women's Health Foundation,17,bc women's health foundation
1529,Catalyst Paper Corporation,17,catalyst paper corporation
1530,Canadian Council on Africa,17,canadian council on africa
1531,Felix & Paul Studios,17,felix & paul studios
1532,Quebec Business Council on the Environnement,17,quebec business council on the environnement
1533,Canadian Opera Company,17,canadian opera company
1534,Hifi Engineering,17,hifi engineering
1535,UiPath Inc,17,uipath inc
1536,"HUMAN RIGHTS WATCH, INC",17,"human rights watch, inc"
